Username,Section,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7.8,Ch9,Ch10,Ch11,Ch12,Ch15I,Ch15II,Ch16,Ch17,Ch18,Ch19,Ch20,AvgCrtPct
GH13f0396,4,100,93.5483870967742,68.75,88.8888888888889,80.7692307692308,93.0555555555556,62.8571428571429,90.9090909090909,64.2857142857143,69.6969696969697,25,NA,64.2857142857143,91.304347826087,80.7692307692308,79.4871794871795,92.8571428571429,95.8333333333333,78.958701683415
GH13f0054,4,94.2857142857143,100,0,83.3333333333333,92.3076923076923,75,NA,NA,100,84.8484848484848,100,48.5714285714286,NA,95.6521739130435,46.1538461538462,97.4358974358974,71.4285714285714,91.6666666666667,78.7122539296452
GH13f0414,4,88.5714285714286,87.0967741935484,31.25,90.7388888888889,84.6153846153846,100,45.7142857142857,63.6363636363636,92.8571428571429,84.8484848484848,NA,62.8571428571429,NA,86.9565217391304,73.0769230769231,NA,100,83.3333333333333,78.3701782888038
GH13f0140,4,NA,77.4193548387097,75,83.3333333333333,84.6153846153846,83.3333333333333,67.8571428571429,NA,85.7142857142857,78.7878787878788,87.5,54.2857142857143,75.7142857142857,82.6086956521739,80.7692307692308,82.051282051282,78.5714285714286,75,78.2850844077615
GH13f0402,4,100,80.6451612903226,78.125,NA,73.0769230769231,94.4444444444444,58.5714285714286,90.9090909090909,92.8571428571429,66.6666666666667,100,57.1428571428571,NA,86.9565217391304,69.2307692307692,66.6666666666667,50,75,77.5182920372152
GH13f0048,4,100,96.7741935483871,71.875,72.2222222222222,15.3846153846154,NA,NA,NA,97.6190476190476,81.8181818181818,100,60,NA,NA,NA,NA,NA,NA,77.2992511769394
GH13f0035,4,97.1428571428571,70.9677419354839,NA,58.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.4813108038915
GH13f0392,4,91.4285714285714,77.4193548387097,68.75,83.3333333333333,57.6923076923077,94.4444444444444,69.2857142857143,90.9090909090909,88.0952380952381,72.7272727272727,87.5,51.4285714285714,77.1428571428572,73.9130434782609,65.3846153846154,66.6666666666667,92.8571428571429,41.6666666666667,75.0358272988591
GH13f0403,4,82.8571428571429,77.4193548387097,NA,77.7777777777778,92.3076923076923,61.1111111111111,30,100,88.0952380952381,81.8181818181818,100,NA,67.1428571428571,69.5652173913043,69.2307692307692,58.974358974359,NA,66.6666666666667,74.864424547454
GH13f0433,4,NA,NA,43.75,88.8888888888889,69.2307692307692,66.6666666666667,97.1428571428571,90.9090909090909,80.9523809523809,87.8787878787879,87.5,NA,NA,60.8695652173913,38.4615384615385,94.8717948717949,64.2857142857143,NA,74.7236965004523
