Username,Section,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T15,T16,T17,T18,T19,T20,T21,T22,T23,AvgCrtPct
GHQ14s0109,4,85.7142857142857,65,51.4285714285714,65,83.3333333333333,50,NA,53.3333333333333,82.5,56.6666666666667,64.2857142857143,80,91.304347826087,70,NA,NA,NA,72.7272727272727,84.6153846153846,NA,70.3939273287099
GHQ14s0473,4,85.7142857142857,85,54.2857142857143,75,77.7777777777778,46.6666666666667,76,53.3333333333333,92.5,86.6666666666667,78.5714285714286,48.5714285714286,78.2608695652174,70,42.5,84,57.1428571428571,63.6363636363636,84.6153846153846,64.2857142857143,70.2264245416419
GHQ14s0433,4,NA,90,62.8571428571429,70,44.4444444444444,53.3333333333333,80,40,85,66.6666666666667,85.7142857142857,NA,60.8695652173913,76.6666666666667,NA,52,64.2857142857143,90.9090909090909,92.3076923076923,78.5714285714286,70.2132959396387
GHQ14s0490,4,100,NA,NA,NA,NA,50,64,NA,NA,NA,77.7777777777778,60,NA,NA,NA,76,78.5714285714286,36.3636363636364,84.6153846153846,71.4285714285714,69.8756798756799
GHQ14s0050,4,91.4285714285714,NA,60,NA,73.7055555555556,66.6666666666667,NA,NA,NA,NA,NA,NA,56.5217391304348,NA,NA,NA,NA,NA,NA,NA,69.6645065562457
GHQ14s0065,4,91.4285714285714,85,NA,80,NA,43.3333333333333,NA,43.3333333333333,NA,60,100,57.1428571428571,78.2608695652174,63.3333333333333,57.5,NA,NA,NA,NA,NA,69.0302089215133
GHQ14s0043,4,94.2857142857143,80,NA,90,NA,36.6666666666667,NA,66.6666666666667,NA,70,44.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.8662131519274
GHQ14s0058,4,NA,90,NA,95,94.4444444444444,43.3333333333333,28,70,NA,76.6666666666667,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,68.4305555555555
GHQ14s0414,4,88.5714285714286,100,77.1428571428572,95,88.8888888888889,60,64,63.3333333333333,95,80,100,NA,NA,63.3333333333333,NA,24,45.2357142857143,0,53.8461538461538,64.2857142857143,68.3904366874955
GHQ14s0078,4,100,90,60,80,77.7777777777778,53.3333333333333,64,70,NA,80,33.3333333333333,NA,73.9130434782609,NA,NA,68,30.95,NA,NA,NA,67.7928836863619
GHQ14s0406,4,77.1428571428572,90,65.7142857142857,95,52.2222222222222,63.3333333333333,72,43.3333333333333,NA,80,78.5714285714286,54.2857142857143,73.9130434782609,56.6666666666667,70,68,42.8571428571429,63.6363636363636,69.2307692307692,71.4285714285714,67.7545122053131
GHQ14s0106,4,82.8571428571429,90,65.7142857142857,85,83.3333333333333,83.3333333333333,76,73.3333333333333,NA,63.3333333333333,44.4444444444444,62.8571428571429,60.8695652173913,53.3333333333333,47.5,64,42.8571428571429,63.6363636363636,76.9230769230769,NA,67.7403239540921
GHQ14s0504,4,100,NA,71.4285714285714,NA,72.2222222222222,NA,84,NA,80,NA,78.5714285714286,54.2857142857143,78.2608695652174,NA,62.5,80,42.8571428571429,36.3636363636364,53.8461538461538,50,67.4525527957205
GHQ14s0413,4,100,95,68.5714285714286,90,72.2222222222222,66.6666666666667,72,56.6666666666667,95,70,85.7142857142857,17.1428571428571,86.9565217391304,0,2.5,60,64.2857142857143,90.9090909090909,69.2307692307692,78.5714285714286,67.071882586013
GHQ14s0416,4,91.4285714285714,NA,82.8571428571429,NA,83.3333333333333,56.6666666666667,NA,NA,82.5,NA,33.3333333333333,48.5714285714286,86.9565217391304,NA,NA,NA,NA,45.4545454545455,69.2307692307692,57.1428571428571,67.0431972507071
GHQ14s0444,4,77.1428571428572,95,NA,85,55.5555555555556,26.6666666666667,68,43.3333333333333,NA,63.3333333333333,60,65.7142857142857,39.1304347826087,NA,52.5,72,71.4285714285714,90.9090909090909,92.3076923076923,64.2857142857143,66.0180903211594
GHQ14s0003,4,94.2857142857143,NA,37.1428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.7142857142857
GHQ14s0408,4,100,100,NA,85,77.7777777777778,NA,NA,NA,67.5,70,28.5714285714286,48.5714285714286,91.304347826087,NA,NA,NA,NA,36.3636363636364,38.4615384615385,42.8571428571429,65.53394170242
